Client Name,Line of Business,Regulatory body
ACC Beef,Food processing,Food Safety Standards Australia New Zealand
AuscoModuler,Construction,Australian Building and Construction Commission
ABC,Telecommunications,Australian Communications and Media Authority
BOQ,Banking Financial services,Australian Prudential Regulatory Authority (APRA)
BP,Oil and gas,National Offshore Petroleum Safety and Environmental Management Authority
Bras N Things_Au,Apparel and Fashion,Department of Industry Innovation and Sceince
Broadspectrum,Infrastructure maintenance services,Department of Infrastructure and Regional Development
ChemistWarehouse,Pharmacy Retail Stores,Pharmacy Board of Australia
CityWide,Infrastructure maintenance services,Department of Infrastructure and Regional Development
Cotton On Group,Apparel and Fashion,Department of Industry Innovation and Sceince
FaustsSupermarket,Retail,Australia Energy Regulator
FultonHogan,Construction,Australian Building and Construction Commission
FlightCentre,Travel,Australian Trade and Investment Commission
Findex,Finance and Account services,Australian Accounting Standards Board
Fletchers,building construction,Building and construction industry | australia.gov.au
GE Australia,Miningtransportationpoweroil&gas,Civil Aviation Safety Authority
Genesis Care,Health care&Social Assistance,Australian Health Practitioner Regulation Agency - Home
Good year,Vehicle manufacturers/tyres,Australian Tyre Industry Council: ATIC
GPC Asia Pacific,Supplier of automotive parts and accessories,Vehicles - Department of Infrastructure and Regional Development
Grilled,Food services,Food Standards Australia New Zealand
Holcim,Construction,Building and construction industry | australia.gov.au
InvoCare,operates funeral homescemeteries and crematoria,Funeral industry regulation | Your rights crime and the law
IVEGroup,createdesign and produce and manage tailored solutions/BFSI,Regulating media & communications | ACMA
Jemena,Utility/gas,AEMO Gas – Australian Energy Market Operator
KPMG,Auditassurancetax and advisoryrisk consulting,Financial regulation | australia.gov.au
Landmark,BFSI/Agriculture,Department of Agriculture and Water Resources Food regulation and 
Latitude Financials,consumer finance provider,Financial regulation | australia.gov.au
Link Health,Health care&Social Assistance,Australian Health Practitioner Regulation Agency - Home
Luxottica,Eyeware manufacturing,
ME Bank,BFSI,Banking regulation in Australia
Nandos,Restaurant,Food Standards Australia New Zealand
PASGroup,Apparel,Care labelling for clothing & textiles | Product Safety Australia
RegionalAustraliaBank,BFSI,Banking regulation in Australia
Regis,Aged Care,Australian Aged Care Quality Agency
Reject Shop,e -commerce,
Rentokil,Pest control,Pest Control Licensing in Australia
REST,BFSI,Australia's Financial Regulatory Framework
Sanity Music,Music,ACMA: Home
Toll,Logistics,Regulation | Australian Logistics Council
TPG,Telecommunication,ACMA: Home
UBS,BFSI / Investment,Australia's Financial Regulatory Framework
Unity Water,Utility / Water,Utilities Commission - Northern Territory Government
VicTrack,Logistics / Transport solution,Regulation | Australian Logistics Council
Yarra Valley Water,Utility / Water,Utilities Commission - Northern Territory Government
